id,userId,quizId,score,completedAt,id_user,firstName,lastName,email,teamId,departmentId,createdAt,password,id_quiz,courseId,title,createdAt_quiz
17,512,90,6,2024-10-09 06:04:30.600,512,Fredrick,Koss,Abdul.Kuhic37@yahoo.com,231,211,2024-10-09 06:04:26.874,LVvnTEzXq_52tcs,90,146,Quiz 1: Object-Oriented Programming,2024-10-09 06:04:28.674
16,509,92,66,2024-10-09 06:04:30.599,509,Asa,Kautzer,Mae23@hotmail.com,226,212,2024-10-09 06:04:26.874,tzuXKzXa2D5okRb,92,155,Quiz 1: Object-Oriented Programming,2024-10-09 06:04:28.728
21,512,123,64,2024-10-09 06:04:30.600,512,Fredrick,Koss,Abdul.Kuhic37@yahoo.com,231,211,2024-10-09 06:04:26.874,LVvnTEzXq_52tcs,123,156,Quiz 2: Functions and Methods,2024-10-09 06:04:30.043
26,518,85,77,2024-10-09 06:04:30.600,518,Timothy,McKenzie,Pinkie.Shields@hotmail.com,232,212,2024-10-09 06:04:26.876,MJKXspepVajM1Q9,85,151,Quiz 2: Unsupervised Learning,2024-10-09 06:04:28.522
15,515,116,86,2024-10-09 06:04:30.600,515,Donato,McKenzie,Jodie.Kiehn@gmail.com,231,215,2024-10-09 06:04:26.875,qWOQ2kDODlYKwEP,116,143,Quiz 1: Memory Management,2024-10-09 06:04:29.539
27,521,122,24,2024-10-09 06:04:30.600,521,Jamil,Nikolaus,Nickolas.Homenick74@yahoo.com,229,214,2024-10-09 06:04:26.876,4X21RUotqorOBDu,122,156,Quiz 1: Process Management,2024-10-09 06:04:29.909
23,510,108,55,2024-10-09 06:04:30.600,510,Hillary,Green,Meaghan29@gmail.com,223,211,2024-10-09 06:04:26.875,C5wd5QvkSfzUo5R,108,150,Quiz 1: Encryption Techniques,2024-10-09 06:04:29.238
25,511,98,35,2024-10-09 06:04:30.599,511,Kennedi,Strosin,Verdie90@gmail.com,228,214,2024-10-09 06:04:26.874,Q4fuVJf7BHTgxKj,98,162,Quiz 1: Neural Networks,2024-10-09 06:04:28.934
22,509,91,66,2024-10-09 06:04:30.599,509,Asa,Kautzer,Mae23@hotmail.com,226,212,2024-10-09 06:04:26.874,tzuXKzXa2D5okRb,91,146,Quiz 2: Network Protocols,2024-10-09 06:04:28.700
19,509,86,53,2024-10-09 06:04:30.599,509,Asa,Kautzer,Mae23@hotmail.com,226,212,2024-10-09 06:04:26.874,tzuXKzXa2D5okRb,86,145,Quiz 1: Neural Networks,2024-10-09 06:04:28.562
28,547,95,0,2024-10-09 06:04:30.600,547,D'angelo,Graham,Dominique58@gmail.com,230,213,2024-10-09 06:04:26.878,lay9XdVZgdS1KrM,95,158,Quiz 2: Variables and Data Types,2024-10-09 06:04:28.843
29,526,122,27,2024-10-09 06:04:30.600,526,Dandre,Romaguera,Pedro_Homenick@yahoo.com,224,215,2024-10-09 06:04:26.877,DqyAy6gGlM3DUlq,122,156,Quiz 1: Process Management,2024-10-09 06:04:29.909
30,520,92,15,2024-10-09 06:04:30.600,520,Reilly,Watsica,Gabriella_Pfannerstill55@yahoo.com,223,215,2024-10-09 06:04:26.876,HX5AFDu35hGVtgE,92,155,Quiz 1: Object-Oriented Programming,2024-10-09 06:04:28.728
24,511,85,19,2024-10-09 06:04:30.599,511,Kennedi,Strosin,Verdie90@gmail.com,228,214,2024-10-09 06:04:26.874,Q4fuVJf7BHTgxKj,85,151,Quiz 2: Unsupervised Learning,2024-10-09 06:04:28.522
20,509,89,18,2024-10-09 06:04:30.600,509,Asa,Kautzer,Mae23@hotmail.com,226,212,2024-10-09 06:04:26.874,tzuXKzXa2D5okRb,89,144,Quiz 2: Control Structures,2024-10-09 06:04:28.650
31,547,92,43,2024-10-09 06:04:30.600,547,D'angelo,Graham,Dominique58@gmail.com,230,213,2024-10-09 06:04:26.878,lay9XdVZgdS1KrM,92,155,Quiz 1: Object-Oriented Programming,2024-10-09 06:04:28.728
18,511,93,93,2024-10-09 06:04:30.599,511,Kennedi,Strosin,Verdie90@gmail.com,228,214,2024-10-09 06:04:26.874,Q4fuVJf7BHTgxKj,93,155,Quiz 2: Memory Management,2024-10-09 06:04:28.771
32,526,109,47,2024-10-09 06:04:30.600,526,Dandre,Romaguera,Pedro_Homenick@yahoo.com,224,215,2024-10-09 06:04:26.877,DqyAy6gGlM3DUlq,109,150,Quiz 2: Memory Management,2024-10-09 06:04:29.276
33,554,95,61,2024-10-09 06:04:30.600,554,Wilhelm,Turcotte,Sophie0@yahoo.com,227,215,2024-10-09 06:04:26.878,bXijnGymu4lYz_s,95,158,Quiz 2: Variables and Data Types,2024-10-09 06:04:28.843
34,520,118,21,2024-10-09 06:04:30.601,520,Reilly,Watsica,Gabriella_Pfannerstill55@yahoo.com,223,215,2024-10-09 06:04:26.876,HX5AFDu35hGVtgE,118,153,Quiz 1: Software Development Life Cycle,2024-10-09 06:04:29.612
35,554,94,75,2024-10-09 06:04:30.601,554,Wilhelm,Turcotte,Sophie0@yahoo.com,227,215,2024-10-09 06:04:26.878,bXijnGymu4lYz_s,94,158,Quiz 1: Design Patterns,2024-10-09 06:04:28.800
36,547,116,33,2024-10-09 06:04:30.600,547,D'angelo,Graham,Dominique58@gmail.com,230,213,2024-10-09 06:04:26.878,lay9XdVZgdS1KrM,116,143,Quiz 1: Memory Management,2024-10-09 06:04:29.539
37,526,84,62,2024-10-09 06:04:30.601,526,Dandre,Romaguera,Pedro_Homenick@yahoo.com,224,215,2024-10-09 06:04:26.877,DqyAy6gGlM3DUlq,84,151,Quiz 1: Supervised Learning,2024-10-09 06:04:28.481
38,560,88,19,2024-10-09 06:04:30.601,560,Dandre,D'Amore,Henriette_Blick64@yahoo.com,223,215,2024-10-09 06:04:26.878,t6sl5RFHFpcZ9iE,88,144,Quiz 1: Unsupervised Learning,2024-10-09 06:04:28.619
39,520,115,94,2024-10-09 06:04:30.601,520,Reilly,Watsica,Gabriella_Pfannerstill55@yahoo.com,223,215,2024-10-09 06:04:26.876,HX5AFDu35hGVtgE,115,147,Quiz 2: Functions and Methods,2024-10-09 06:04:29.493
40,560,97,75,2024-10-09 06:04:30.601,560,Dandre,D'Amore,Henriette_Blick64@yahoo.com,223,215,2024-10-09 06:04:26.878,t6sl5RFHFpcZ9iE,97,149,Quiz 2: Neural Networks,2024-10-09 06:04:28.905
41,526,101,99,2024-10-09 06:04:30.601,526,Dandre,Romaguera,Pedro_Homenick@yahoo.com,224,215,2024-10-09 06:04:26.877,DqyAy6gGlM3DUlq,101,161,Quiz 2: Supervised Learning,2024-10-09 06:04:29.023
42,705,103,13,2024-10-09 06:04:30.601,705,Arvilla,Hahn,Reyna.Stroman85@gmail.com,229,215,2024-10-09 06:04:26.875,1c_aSbDy9EPui_e,103,154,Quiz 2: Authentication Methods,2024-10-09 06:04:29.097
43,704,96,36,2024-10-09 06:04:30.601,704,Jaron,Jerde,Elroy_Borer@yahoo.com,223,214,2024-10-09 06:04:26.876,trq7voTFAuixvhQ,96,149,Quiz 1: JavaScript Basics,2024-10-09 06:04:28.870
44,511,113,43,2024-10-09 06:04:30.601,511,Kennedi,Strosin,Verdie90@gmail.com,228,214,2024-10-09 06:04:26.874,Q4fuVJf7BHTgxKj,113,160,Quiz 2: Functions and Methods,2024-10-09 06:04:29.399
45,520,113,35,2024-10-09 06:04:30.601,520,Reilly,Watsica,Gabriella_Pfannerstill55@yahoo.com,223,215,2024-10-09 06:04:26.876,HX5AFDu35hGVtgE,113,160,Quiz 2: Functions and Methods,2024-10-09 06:04:29.399
